%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1778819015255869093,0.0,0.0,0.0,0.0,0.0,0.3
1778819015255884342,0.0,0.0,0.0,0.0,0.0,0.3
1778819015356529175,0.0,0.0,0.0,0.0,0.0,0.3
1778819015456660965,0.0,0.0,0.0,0.0,0.0,0.3
1778819015556363492,0.0,0.0,0.0,0.0,0.0,0.3
1778819015656365455,0.0,0.0,0.0,0.0,0.0,0.3
1778819015756049739,0.0,0.0,0.0,0.0,0.0,0.3
1778819015856071140,0.0,0.0,0.0,0.0,0.0,0.3
1778819015956055102,0.0,0.0,0.0,0.0,0.0,0.3
1778819016056304134,0.0,0.0,0.0,0.0,0.0,0.3
1778819016156371515,0.0,0.0,0.0,0.0,0.0,0.3
1778819016256241190,0.0,0.0,0.0,0.0,0.0,0.3
1778819016356260553,0.0,0.0,0.0,0.0,0.0,0.3
1778819016456437620,0.0,0.0,0.0,0.0,0.0,0.3
1778819016556542974,0.0,0.0,0.0,0.0,0.0,0.3
1778819016656366175,0.0,0.0,0.0,0.0,0.0,0.3
1778819016756176909,0.0,0.0,0.0,0.0,0.0,0.3
1778819016856178957,0.0,0.0,0.0,0.0,0.0,0.3
1778819016956536669,0.0,0.0,0.0,0.0,0.0,0.3
1778819017056518289,0.0,0.0,0.0,0.0,0.0,0.3
1778819017156314293,0.0,0.0,0.0,0.0,0.0,0.3
1778819017256163528,0.0,0.0,0.0,0.0,0.0,0.3
1778819017356186224,0.0,0.0,0.0,0.0,0.0,0.3
1778819017456275036,0.0,0.0,0.0,0.0,0.0,0.3
1778819017556552096,0.0,0.0,0.0,0.0,0.0,0.3
1778819017656479432,0.0,0.0,0.0,0.0,0.0,0.3
1778819017756254379,0.0,0.0,0.0,0.0,0.0,0.3
1778819017857039711,0.0,0.0,0.0,0.0,0.0,0.3
1778819017956172072,0.0,0.0,0.0,0.0,0.0,0.3
1778819018056509358,0.0,0.0,0.0,0.0,0.0,0.3
1778819018156303573,0.0,0.0,0.0,0.0,0.0,0.3
1778819018256423862,0.0,0.0,0.0,0.0,0.0,0.3
1778819018356404019,0.0,0.0,0.0,0.0,0.0,0.3
1778819018456475240,0.0,0.0,0.0,0.0,0.0,0.3
1778819018556265446,0.0,0.0,0.0,0.0,0.0,0.3
1778819018656504989,0.0,0.0,0.0,0.0,0.0,0.3
1778819018756216083,0.0,0.0,0.0,0.0,0.0,0.3
1778819018856280139,0.0,0.0,0.0,0.0,0.0,0.3
1778819018956326019,0.0,0.0,0.0,0.0,0.0,0.3
1778819019056216987,0.0,0.0,0.0,0.0,0.0,0.3
1778819019156414304,0.0,0.0,0.0,0.0,0.0,0.3
1778819019256281228,0.0,0.0,0.0,0.0,0.0,0.3
1778819019356458112,0.0,0.0,0.0,0.0,0.0,0.3
1778819019456293107,0.0,0.0,0.0,0.0,0.0,0.3
1778819019556327137,0.0,0.0,0.0,0.0,0.0,0.3
1778819019656329631,0.0,0.0,0.0,0.0,0.0,0.3
1778819019756350551,0.0,0.0,0.0,0.0,0.0,0.3
1778819019856254118,0.0,0.0,0.0,0.0,0.0,0.3
1778819019956244535,0.0,0.0,0.0,0.0,0.0,0.3
1778819020056253447,0.0,0.0,0.0,0.0,0.0,0.3
1778819020156484658,0.0,0.0,0.0,0.0,0.0,0.3
1778819020256325440,0.0,0.0,0.0,0.0,0.0,0.3
1778819020356504142,0.0,0.0,0.0,0.0,0.0,0.3
1778819020456454066,0.0,0.0,0.0,0.0,0.0,0.3
1778819020556432815,0.0,0.0,0.0,0.0,0.0,0.3
1778819020656467593,0.0,0.0,0.0,0.0,0.0,0.3
1778819020756281587,0.0,0.0,0.0,0.0,0.0,0.3
1778819020856630583,0.0,0.0,0.0,0.0,0.0,0.3
1778819020956327006,0.0,0.0,0.0,0.0,0.0,0.3
1778819021056428553,0.0,0.0,0.0,0.0,0.0,0.3
1778819021156564156,0.0,0.0,0.0,0.0,0.0,0.3
1778819021256255192,0.0,0.0,0.0,0.0,0.0,0.3
1778819021356492575,0.0,0.0,0.0,0.0,0.0,0.3
1778819021456562772,0.0,0.0,0.0,0.0,0.0,0.3
1778819021556180947,0.0,0.0,0.0,0.0,0.0,0.3
1778819021656214455,0.0,0.0,0.0,0.0,0.0,0.3
1778819021756313740,0.0,0.0,0.0,0.0,0.0,0.3
1778819021856212675,0.0,0.0,0.0,0.0,0.0,0.3
1778819021956595587,0.0,0.0,0.0,0.0,0.0,0.3
1778819022056407386,0.0,0.0,0.0,0.0,0.0,0.3
1778819022156157630,0.0,0.0,0.0,0.0,0.0,0.3
1778819022256197099,0.0,0.0,0.0,0.0,0.0,0.3
1778819022356089315,0.0,0.0,0.0,0.0,0.0,0.3
1778819022456176705,0.0,0.0,0.0,0.0,0.0,0.3
1778819022556378106,0.0,0.0,0.0,0.0,0.0,0.3
1778819022656290322,0.0,0.0,0.0,0.0,0.0,0.3
1778819022756185488,0.0,0.0,0.0,0.0,0.0,0.3
1778819022856692214,0.0,0.0,0.0,0.0,0.0,0.3
1778819022956076167,0.0,0.0,0.0,0.0,0.0,0.3
1778819023056313513,0.0,0.0,0.0,0.0,0.0,0.3
1778819023156092668,0.0,0.0,0.0,0.0,0.0,0.3
1778819023256201992,0.0,0.0,0.0,0.0,0.0,0.3
1778819023356177382,0.0,0.0,0.0,0.0,0.0,0.3
1778819023456220926,0.0,0.0,0.0,0.0,0.0,0.3
1778819023556554635,0.0,0.0,0.0,0.0,0.0,0.3
1778819023656280633,0.0,0.0,0.0,0.0,0.0,0.3
1778819023756209082,0.0,0.0,0.0,0.0,0.0,0.3
1778819023856221311,0.0,0.0,0.0,0.0,0.0,0.3
1778819023956147908,0.0,0.0,0.0,0.0,0.0,0.3
1778819024056247151,0.0,0.0,0.0,0.0,0.0,0.3
1778819024156166239,0.0,0.0,0.0,0.0,0.0,0.3
1778819024256468231,0.0,0.0,0.0,0.0,0.0,0.3
1778819024356298023,0.0,0.0,0.0,0.0,0.0,0.3
1778819024456381620,0.0,0.0,0.0,0.0,0.0,0.3
1778819024556332436,0.0,0.0,0.0,0.0,0.0,0.3
1778819024656015650,0.0,0.0,0.0,0.0,0.0,0.3
1778819024756208211,0.0,0.0,0.0,0.0,0.0,0.3
1778819024856398302,0.0,0.0,0.0,0.0,0.0,0.3
1778819024956234882,0.0,0.0,0.0,0.0,0.0,0.3
1778819025056337421,0.0,0.0,0.0,0.0,0.0,0.3
1778819025156197336,0.0,0.0,0.0,0.0,0.0,0.3
1778819025256348229,0.0,0.0,0.0,0.0,0.0,0.3
1778819025356181925,0.0,0.0,0.0,0.0,0.0,0.0
1778819025665738049,0.2,0.0,0.0,0.0,0.0,0.0
1778819025665753387,0.2,0.0,0.0,0.0,0.0,0.0
1778819025765795788,0.2,0.0,0.0,0.0,0.0,0.0
1778819025866041433,0.2,0.0,0.0,0.0,0.0,0.0
1778819025965806405,0.2,0.0,0.0,0.0,0.0,0.0
1778819026065717128,0.2,0.0,0.0,0.0,0.0,0.0
1778819026165938309,0.2,0.0,0.0,0.0,0.0,0.0
1778819026265831980,0.2,0.0,0.0,0.0,0.0,0.0
1778819026365773145,0.2,0.0,0.0,0.0,0.0,0.0
1778819026465758263,0.2,0.0,0.0,0.0,0.0,0.0
1778819026565791912,0.2,0.0,0.0,0.0,0.0,0.0
1778819026665679039,0.2,0.0,0.0,0.0,0.0,0.0
1778819026765860304,0.2,0.0,0.0,0.0,0.0,0.0
1778819026866181938,0.2,0.0,0.0,0.0,0.0,0.0
1778819026965709748,0.2,0.0,0.0,0.0,0.0,0.0
1778819027065852875,0.2,0.0,0.0,0.0,0.0,0.0
1778819027165777038,0.2,0.0,0.0,0.0,0.0,0.0
1778819027265875687,0.2,0.0,0.0,0.0,0.0,0.0
1778819027365805368,0.2,0.0,0.0,0.0,0.0,0.0
1778819027465828805,0.2,0.0,0.0,0.0,0.0,0.0
1778819027565697248,0.2,0.0,0.0,0.0,0.0,0.0
1778819027665747530,0.2,0.0,0.0,0.0,0.0,0.0
1778819027765790449,0.2,0.0,0.0,0.0,0.0,0.0
1778819027865956875,0.2,0.0,0.0,0.0,0.0,0.0
1778819027966003367,0.2,0.0,0.0,0.0,0.0,0.0
1778819028065937342,0.2,0.0,0.0,0.0,0.0,0.0
1778819028165745431,0.2,0.0,0.0,0.0,0.0,0.0
1778819028266153463,0.2,0.0,0.0,0.0,0.0,0.0
1778819028365972727,0.2,0.0,0.0,0.0,0.0,0.0
1778819028465788777,0.2,0.0,0.0,0.0,0.0,0.0
1778819028565915134,0.2,0.0,0.0,0.0,0.0,0.0
1778819028665764304,0.2,0.0,0.0,0.0,0.0,0.0
1778819028766138550,0.2,0.0,0.0,0.0,0.0,0.0
1778819028866068043,0.2,0.0,0.0,0.0,0.0,0.0
1778819028965956387,0.2,0.0,0.0,0.0,0.0,0.0
1778819029065731177,0.2,0.0,0.0,0.0,0.0,0.0
1778819029165653369,0.2,0.0,0.0,0.0,0.0,0.0
1778819029265682608,0.2,0.0,0.0,0.0,0.0,0.0
1778819029365808392,0.2,0.0,0.0,0.0,0.0,0.0
1778819029465791203,0.2,0.0,0.0,0.0,0.0,0.0
1778819029566027413,0.2,0.0,0.0,0.0,0.0,0.0
1778819029666066712,0.2,0.0,0.0,0.0,0.0,0.0
1778819029766115077,0.2,0.0,0.0,0.0,0.0,0.0
1778819029865929200,0.2,0.0,0.0,0.0,0.0,0.0
1778819029965717877,0.2,0.0,0.0,0.0,0.0,0.0
1778819030065746683,0.2,0.0,0.0,0.0,0.0,0.0
1778819030165723442,0.2,0.0,0.0,0.0,0.0,0.0
1778819030265696651,0.2,0.0,0.0,0.0,0.0,0.0
1778819030366167964,0.2,0.0,0.0,0.0,0.0,0.0
