%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.name6,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.velocity6,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4,field.effort5,field.effort6
1780955824472856907,99279,1780955824366832597,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.006135923787951469,0.0,0.003067961661145091,-1.5508545637130737,1.2363885641098022,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.01000213623047,-330.8699951171875,-67.25,0.0
1780955824472871260,99280,1780955824373832597,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.006135923787951469,0.0,0.003067961661145091,-1.5508545637130737,1.2363885641098022,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.01000213623047,-333.55999755859375,-67.25,0.0
1780955824563504232,99281,1780955824535832597,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.006135923787951469,0.0,0.004601942375302315,-1.5508545637130737,1.2363885641098022,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.01000213623047,-330.8699951171875,-72.6300048828125,0.0
1780955824599183797,99282,1780955824543832597,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.006135923787951469,0.0,0.004601942375302315,-1.5508545637130737,1.2363885641098022,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.01000213623047,-330.8699951171875,-69.94000244140625,0.0
1780955824698225689,99283,1780955824577832597,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.006135923787951469,0.0,0.003067961661145091,-1.5508545637130737,1.2363885641098022,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.01000213623047,-330.8699951171875,-67.25,0.0
1780955824727305584,99284,1780955824688832597,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.006135923787951469,0.0,0.003067961661145091,-1.5508545637130737,1.2363885641098022,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.01000213623047,-330.8699951171875,-67.25,0.0
1780955824814705842,99285,1780955824722832597,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.006135923787951469,0.0,0.003067961661145091,-1.5508545637130737,1.2363885641098022,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.01000213623047,-330.8699951171875,-67.25,0.0
1780955824859208040,99286,1780955824832832597,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.006135923787951469,0.0,0.003067961661145091,-1.5508545637130737,1.2363885641098022,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.01000213623047,-330.8699951171875,-69.94000244140625,0.0
1780955824950170103,99287,1780955824866832597,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.006135923787951469,0.0,0.003067961661145091,-1.5508545637130737,1.2363885641098022,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.01000213623047,-333.55999755859375,-67.25,0.0
1780955824990564705,99288,1780955824968832597,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.006135923787951469,0.0,0.003067961661145091,-1.5508545637130737,1.2363885641098022,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.01000213623047,-330.8699951171875,-69.94000244140625,0.0
1780955825082175193,99289,1780955825002832597,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.006135923787951469,0.0,0.003067961661145091,-1.5508545637130737,1.2363885641098022,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.01000213623047,-330.8699951171875,-69.94000244140625,0.0
1780955825119408631,99290,1780955825097832597,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.006135923787951469,0.0,0.003067961661145091,-1.5508545637130737,1.2363885641098022,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.01000213623047,-333.55999755859375,-67.25,0.0
1780955825215773364,99291,1780955825131832597,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.006135923787951469,0.0,0.003067961661145091,-1.5508545637130737,1.2363885641098022,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.01000213623047,-330.8699951171875,-69.94000244140625,0.0
1780955825257623540,99292,1780955825236832597,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.006135923787951469,0.0,0.003067961661145091,-1.5508545637130737,1.2363885641098022,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.01000213623047,-330.8699951171875,-67.25,0.0
1780955825344580774,99293,1780955825270832597,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.006135923787951469,0.0,0.003067961661145091,-1.5508545637130737,1.2363885641098022,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.01000213623047,-330.8699951171875,-67.25,0.0
1780955825365694952,99294,1780955825368832597,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.006135923787951469,0.0,0.003067961661145091,-1.5508545637130737,1.2363885641098022,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.31999969482422,-330.8699951171875,-67.25,0.0
