%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.name6,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.velocity6,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4,field.effort5,field.effort6
1780961510216965737,199717,1780961510142735206,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,-0.004601942375302315,-1.5493206977844238,1.2363885641098022,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.31999969482422,-341.6300048828125,-67.25,0.0
1780961510216979698,199718,1780961510151735206,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,-0.004601942375302315,-1.5493206977844238,1.2363885641098022,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.31999969482422,-341.6300048828125,-67.25,0.0
1780961510292796961,199719,1780961510183735206,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,-0.004601942375302315,-1.5493206977844238,1.2363885641098022,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.31999969482422,-338.94000244140625,-67.25,0.0
1780961510330901967,199720,1780961510321735206,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,-0.004601942375302315,-1.5493206977844238,1.2379225492477417,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.94000244140625,-341.6300048828125,-67.25,0.0
1780961510436474133,199721,1780961510355735206,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,-0.004601942375302315,-1.5493206977844238,1.2363885641098022,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6300048828125,-341.6300048828125,-67.25,0.0
1780961510464191341,199722,1780961510471735206,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,-0.004601942375302315,-1.5493206977844238,1.2379225492477417,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6300048828125,-344.32000732421875,-67.25,0.0
1780961510531282417,199723,1780961510496735206,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,-0.004601942375302315,-1.5493206977844238,1.2363885641098022,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.31999969482422,-338.94000244140625,-67.25,0.0
1780961510593061175,199724,1780961510616735206,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,-0.004601942375302315,-1.5493206977844238,1.2379225492477417,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.31999969482422,-341.6300048828125,-72.6300048828125,0.0
1780961510692136923,199725,1780961510650735206,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,-0.004601942375302315,-1.5493206977844238,1.2379225492477417,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.31999969482422,-347.010009765625,-67.25,0.0
1780961510729013225,199726,1780961510746735206,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,-0.004601942375302315,-1.5493206977844238,1.2379225492477417,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.31999969482422,-338.94000244140625,-67.25,0.0
1780961510826597481,199727,1780961510780735206,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,-0.004601942375302315,-1.5493206977844238,1.2363885641098022,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6300048828125,-338.94000244140625,-75.31999969482422,0.0
1780961510863190621,199728,1780961510880735206,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,-0.004601942375302315,-1.5493206977844238,1.2363885641098022,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.31999969482422,-338.94000244140625,-67.25,0.0
1780961510959578092,199729,1780961510914735206,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,-0.004601942375302315,-1.5493206977844238,1.2363885641098022,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.31999969482422,-338.94000244140625,-69.94000244140625,0.0
1780961510999608136,199730,1780961511014735206,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,-0.004601942375302315,-1.5493206977844238,1.2363885641098022,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.31999969482422,-344.32000732421875,-67.25,0.0
1780961511093006405,199731,1780961511048735206,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,-0.004601942375302315,-1.5493206977844238,1.2363885641098022,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.94000244140625,-341.6300048828125,-67.25,0.0
1780961511131135937,199732,1780961511149735206,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,-0.004601942375302315,-1.5493206977844238,1.2363885641098022,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6300048828125,-338.94000244140625,-67.25,0.0
1780961511226804640,199733,1780961511183735206,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,-0.004601942375302315,-1.5493206977844238,1.2379225492477417,0.5936505794525146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6300048828125,-341.6300048828125,-67.25,0.0
1780961511263905851,199734,1780961511281735206,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,-0.004601942375302315,-1.5493206977844238,1.2363885641098022,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.31999969482422,-341.6300048828125,-67.25,0.0
1780961511361106157,199735,1780961511315735206,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,-0.004601942375302315,-1.5493206977844238,1.2363885641098022,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.94000244140625,-338.94000244140625,-67.25,0.0
1780961511401214762,199736,1780961511417735206,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,-0.004601942375302315,-1.5493206977844238,1.2363885641098022,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.31999969482422,-341.6300048828125,-67.25,0.0
1780961511496580432,199737,1780961511451735206,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,-0.004601942375302315,-1.5493206977844238,1.2363885641098022,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.31999969482422,-338.94000244140625,-69.94000244140625,0.0
1780961511533341566,199738,1780961511552735206,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,-0.004601942375302315,-1.5493206977844238,1.2363885641098022,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.31999969482422,-338.94000244140625,-67.25,0.0
