%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1779683679699942307,0.0,0.0,0.0,0.0,0.0,0.0
1779683679901365928,0.0,0.0,0.0,0.0,0.0,0.0
1779683680103001916,0.0,0.0,0.0,0.0,0.0,0.0
1779683680303706677,0.0,0.0,0.0,0.0,0.0,0.0
1779683680504870684,0.0,0.0,0.0,0.0,0.0,0.0
1779683680705623493,0.0,0.0,0.0,0.0,0.0,0.0
1779683680906755804,0.0,0.0,0.0,0.0,0.0,0.0
1779683681108598709,0.0,0.0,0.0,0.0,0.0,0.0
1779683692815027157,0.0,0.0,0.0,0.0,0.0,0.0
1779683708815512834,0.0,0.0,0.0,0.0,0.0,0.0
1779683708907916313,0.0,0.0,0.0,0.0,0.0,-0.18564713269433364
1779683709007205969,0.0,0.0,0.0,0.0,0.0,-0.18556072873877993
1779683709107752493,0.0,0.0,0.0,0.0,0.0,-0.1796042067467375
1779683709207329972,0.0,0.0,0.0,0.0,0.0,-0.15786458673285353
1779683709307223731,0.0,0.0,0.0,0.0,0.0,-0.11908486908086557
1779683709407192618,0.0,0.0,0.0,0.0,0.0,-0.09806488092804866
1779683709507199075,0.035,0.0,0.0,0.0,0.0,-0.07929533951804157
1779683709607682151,0.035,0.0,0.0,0.0,0.0,-0.06595507405634549
1779683709707455469,0.035,0.0,0.0,0.0,0.0,-0.050084189626706244
1779683709807604161,0.035,0.0,0.0,0.0,0.0,-0.03965727315272605
1779683709907251506,0.035,0.0,0.0,0.0,0.0,-0.0315356011562945
1779683710007451912,0.035,0.0,0.0,0.0,0.0,-0.02193254172805681
1779683710107246297,0.035,0.0,0.0,0.0,0.0,-0.017636039975640894
1779683710207234857,0.035,0.0,0.0,0.0,0.0,-0.013754030869964629
1779683710307043681,0.035,0.0,0.0,0.0,0.0,-0.010769263508105142
1779683710407220901,0.035,0.0,0.0,0.0,0.0,-0.008680134042600596
1779683710507188286,0.035,0.0,0.0,0.0,0.0,-0.006749624552049527
1779683710607087059,0.035,0.0,0.0,0.0,0.0,-0.00477158287044499
1779683710707486981,0.035,0.0,0.0,0.0,0.0,-0.003757061426938768
1779683710807708047,0.035,0.0,0.0,0.0,0.0,0.0002879804539818176
1779683710907443699,0.035,0.0,0.0,0.0,0.0,0.00043372432074761935
1779683711007305642,0.035,0.0,0.0,0.0,0.0,0.001732401011902307
1779683711107268823,0.035,0.0,0.0,0.0,0.0,0.0018587948468395954
1779683711207132960,0.035,0.0,0.0,0.0,0.0,0.0017318157497685505
1779683711307456749,0.035,0.0,0.0,0.0,0.0,0.0019039273559359193
1779683711407506250,0.035,0.0,0.0,0.0,0.0,0.0017074192555663892
1779683711507628257,0.035,0.0,0.0,0.0,0.0,0.0017101636587321112
1779683711607795248,0.035,0.0,0.0,0.0,0.0,0.0015717620375821362
1779683711707281982,0.035,0.0,0.0,0.0,0.0,0.0017472022999258652
1779683711807159904,0.035,0.0,0.0,0.0,0.0,0.0017277118777969669
1779683711907115609,0.035,0.0,0.0,0.0,0.0,0.0007583006825488958
1779683712007304378,0.035,0.0,0.0,0.0,0.0,0.0003510672070710097
1779683712108384158,0.035,0.0,0.0,0.0,0.0,0.000494626934806508
1779683712207213547,0.035,0.0,0.0,0.0,0.0,0.00047624932082157567
1779683712307140807,0.035,0.0,0.0,0.0,0.0,0.00045909235105334734
1779683712407554185,0.035,0.0,0.0,0.0,0.0,0.0005596039255707508
1779683712507258635,0.035,0.0,0.0,0.0,0.0,0.00036640517400987616
1779683712607394292,0.035,0.0,0.0,0.0,0.0,0.0003292858852991243
1779683712707892149,0.035,0.0,0.0,0.0,0.0,7.594947635003457e-05
1779683712807441162,0.035,0.0,0.0,0.0,0.0,0.0003712370571634649
1779683712907821476,0.035,0.0,0.0,0.0,0.0,0.00021407232393311215
1779683713007592119,0.035,0.0,0.0,0.0,0.0,0.0002794996015348383
1779683713108013684,0.035,0.0,0.0,0.0,0.0,0.00047738527423324406
1779683713207326297,0.035,0.0,0.0,0.0,0.0,0.0005404365928850519
1779683713307360127,0.035,0.0,0.0,0.0,0.0,0.00045386911041467304
1779683713407594052,0.035,0.0,0.0,0.0,0.0,0.0006785417510521974
1779683713507318768,0.035,0.0,0.0,0.0,0.0,0.0016724789051850708
1779683713607208456,0.035,0.0,0.0,0.0,0.0,0.0015189300506834869
1779683713707417488,0.035,0.0,0.0,0.0,0.0,0.0017697624205165186
1779683713807587969,0.035,0.0,0.0,0.0,0.0,0.0018668633334297802
1779683713907255019,0.035,0.0,0.0,0.0,0.0,0.00201835352479407
1779683714007114049,0.035,0.0,0.0,0.0,0.0,0.0026278894907655337
1779683714107415103,0.035,0.0,0.0,0.0,0.0,0.0018978605931750936
1779683714207048784,0.035,0.0,0.0,0.0,0.0,0.001846022490514354
1779683714307237209,0.035,0.0,0.0,0.0,0.0,0.0016535597707140193
1779683714407146043,0.035,0.0,0.0,0.0,0.0,0.0015137381211844936
1779683714507421537,0.035,0.0,0.0,0.0,0.0,0.0017188060748148937
1779683714607258063,0.035,0.0,0.0,0.0,0.0,0.0017140902379512157
1779683714707729401,0.035,0.0,0.0,0.0,0.0,0.001801393051183875
1779683714807673311,0.035,0.0,0.0,0.0,0.0,0.0016857346774632465
1779683714907410504,0.035,0.0,0.0,0.0,0.0,0.0014767238240565028
1779683715007199238,0.035,0.0,0.0,0.0,0.0,0.0017241403846893766
