%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1779592681461862314,0.0,0.0,0.0,0.0,0.0,0.0
1779592681498235406,0.0,0.0,0.0,0.0,0.0,0.0
1779592681598509799,0.0,0.0,0.0,0.0,0.0,0.0
1779592681698778980,0.0,0.0,0.0,0.0,0.0,0.0
1779592681798933752,0.0,0.0,0.0,0.0,0.0,0.0
1779592681899244726,0.0,0.0,0.0,0.0,0.0,0.0
1779592681999341129,0.0,0.0,0.0,0.0,0.0,0.0
1779592682099780421,0.0,0.0,0.0,0.0,0.0,0.0
1779592682199959609,0.0,0.0,0.0,0.0,0.0,0.0
1779592682300397105,0.0,0.0,0.0,0.0,0.0,0.0
1779592682400647737,0.0,0.0,0.0,0.0,0.0,0.0
1779592682500954748,0.0,0.0,0.0,0.0,0.0,0.0
1779592682601211142,0.0,0.0,0.0,0.0,0.0,0.0
1779592682701663781,0.0,0.0,0.0,0.0,0.0,0.0
1779592682801769931,0.0,0.0,0.0,0.0,0.0,0.0
1779592682901939420,0.0,0.0,0.0,0.0,0.0,0.0
1779592683002221736,0.0,0.0,0.0,0.0,0.0,0.0
1779592683102424884,0.0,0.0,0.0,0.0,0.0,0.0
1779592683202770120,0.0,0.0,0.0,0.0,0.0,0.0
1779592683302991191,0.0,0.0,0.0,0.0,0.0,0.0
1779592683403153019,0.0,0.0,0.0,0.0,0.0,0.0
1779592683503419249,0.0,0.0,0.0,0.0,0.0,0.0
1779592683603590849,0.0,0.0,0.0,0.0,0.0,0.0
1779592683703941446,0.0,0.0,0.0,0.0,0.0,0.0
1779592683804116285,0.0,0.0,0.0,0.0,0.0,0.0
1779592683904271911,0.0,0.0,0.0,0.0,0.0,0.0
1779592684004446632,0.0,0.0,0.0,0.0,0.0,0.0
1779592684104732553,0.0,0.0,0.0,0.0,0.0,0.0
1779592684205089679,0.0,0.0,0.0,0.0,0.0,0.0
1779592684305407146,0.0,0.0,0.0,0.0,0.0,0.0
1779592684405635458,0.0,0.0,0.0,0.0,0.0,0.0
1779592684506107299,0.0,0.0,0.0,0.0,0.0,0.0
1779592684606260990,0.0,0.0,0.0,0.0,0.0,0.0
1779592684706398351,0.0,0.0,0.0,0.0,0.0,0.0
1779592684807172400,0.0,0.0,0.0,0.0,0.0,0.0
1779592684907208884,0.0,0.0,0.0,0.0,0.0,0.0
1779592685007634240,0.0,0.0,0.0,0.0,0.0,0.0
1779592685107712960,0.0,0.0,0.0,0.0,0.0,0.0
1779592685207982348,0.0,0.0,0.0,0.0,0.0,0.0
1779592685308244259,0.0,0.0,0.0,0.0,0.0,0.0
1779592685408633152,0.0,0.0,0.0,0.0,0.0,0.0
1779592685509104442,0.0,0.0,0.0,0.0,0.0,0.0
1779592685609281127,0.0,0.0,0.0,0.0,0.0,0.0
1779592685709867529,0.0,0.0,0.0,0.0,0.0,0.0
1779592685810056997,0.0,0.0,0.0,0.0,0.0,0.0
1779592685910580176,0.0,0.0,0.0,0.0,0.0,0.0
1779592686010717593,0.0,0.0,0.0,0.0,0.0,0.0
1779592686111004573,0.0,0.0,0.0,0.0,0.0,0.0
1779592686211585108,0.0,0.0,0.0,0.0,0.0,0.0
1779592686311804675,0.0,0.0,0.0,0.0,0.0,0.0
1779592686412142316,0.0,0.0,0.0,0.0,0.0,0.0
1779592686512463405,0.0,0.0,0.0,0.0,0.0,0.0
1779592686613394192,0.0,0.0,0.0,0.0,0.0,0.0
1779592686714217736,0.0,0.0,0.0,0.0,0.0,0.0
1779592686814321606,0.0,0.0,0.0,0.0,0.0,0.0
1779592686914724114,0.0,0.0,0.0,0.0,0.0,0.0
1779592686954658317,0.005,0.0,0.0,0.0,0.0,0.0
1779592687055122042,0.01,0.0,0.0,0.0,0.0,0.0
1779592687155824818,0.01,0.0,0.0,0.0,0.0,0.0
1779592687256069736,0.01,0.0,0.0,0.0,0.0,0.0
1779592687356468639,0.01,0.0,0.0,0.0,0.0,0.0
1779592687457053901,0.01,0.0,0.0,0.0,0.0,0.0
