%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1779681614244886333,0.0,0.0,0.0,0.0,0.0,0.0
1779681614345509476,0.0,0.0,0.0,0.0,0.0,0.0
1779681614446075077,0.0,0.0,0.0,0.0,0.0,0.0
1779681614546542356,0.0,0.0,0.0,0.0,0.0,0.0
1779681614646776254,0.0,0.0,0.0,0.0,0.0,0.0
1779681614746969788,0.0,0.0,0.0,0.0,0.0,0.0
1779681614847362426,0.0,0.0,0.0,0.0,0.0,0.0
1779681614947553058,0.0,0.0,0.0,0.0,0.0,0.0
1779681615047971103,0.0,0.0,0.0,0.0,0.0,0.0
1779681615148539442,0.0,0.0,0.0,0.0,0.0,0.0
1779681615248642275,0.0,0.0,0.0,0.0,0.0,0.0
1779681615348863655,0.0,0.0,0.0,0.0,0.0,0.0
1779681615449304005,0.0,0.0,0.0,0.0,0.0,0.0
1779681615549675382,0.0,0.0,0.0,0.0,0.0,0.0
1779681615649845548,0.0,0.0,0.0,0.0,0.0,0.0
1779681615749908908,0.0,0.0,0.0,0.0,0.0,0.0
1779681615850174865,0.0,0.0,0.0,0.0,0.0,0.0
1779681615950613781,0.0,0.0,0.0,0.0,0.0,0.0
1779681616050831411,0.0,0.0,0.0,0.0,0.0,0.0
1779681616151141467,0.0,0.0,0.0,0.0,0.0,0.0
1779681616251513977,0.0,0.0,0.0,0.0,0.0,0.0
1779681616351900797,0.0,0.0,0.0,0.0,0.0,0.0
1779681616452093213,0.0,0.0,0.0,0.0,0.0,0.0
1779681616552490823,0.0,0.0,0.0,0.0,0.0,0.0
1779681616652795183,0.0,0.0,0.0,0.0,0.0,0.0
1779681616753109822,0.0,0.0,0.0,0.0,0.0,0.0
1779681616853413108,0.0,0.0,0.0,0.0,0.0,0.0
1779681616953648055,0.0,0.0,0.0,0.0,0.0,0.0
1779681617053757690,0.0,0.0,0.0,0.0,0.0,0.0
1779681617153953830,0.0,0.0,0.0,0.0,0.0,0.0
1779681617254587639,0.0,0.0,0.0,0.0,0.0,0.0
1779681617354662645,0.0,0.0,0.0,0.0,0.0,0.0
1779681617455138646,0.0,0.0,0.0,0.0,0.0,0.0
1779681617555361912,0.0,0.0,0.0,0.0,0.0,0.0
1779681617655811826,0.0,0.0,0.0,0.0,0.0,0.0
1779681617756457283,0.0,0.0,0.0,0.0,0.0,0.0
1779681617856640117,0.0,0.0,0.0,0.0,0.0,0.0
1779681617957180049,0.0,0.0,0.0,0.0,0.0,0.0
1779681618057336979,0.0,0.0,0.0,0.0,0.0,0.0
1779681618157702543,0.0,0.0,0.0,0.0,0.0,0.0
1779681618257816827,0.0,0.0,0.0,0.0,0.0,0.0
1779681618358079047,0.0,0.0,0.0,0.0,0.0,0.0
1779681618458946966,0.0,0.0,0.0,0.0,0.0,0.0
1779681618559378278,0.0,0.0,0.0,0.0,0.0,0.0
1779681618660001802,0.0,0.0,0.0,0.0,0.0,0.0
1779681618760168412,0.0,0.0,0.0,0.0,0.0,0.0
1779681618860384659,0.0,0.0,0.0,0.0,0.0,0.0
1779681618960931499,0.0,0.0,0.0,0.0,0.0,0.0
1779681619061254102,0.0,0.0,0.0,0.0,0.0,0.0
1779681619161517350,0.0,0.0,0.0,0.0,0.0,0.0
1779681619261988198,0.0,0.0,0.0,0.0,0.0,0.0
1779681619362118406,0.0,0.0,0.0,0.0,0.0,0.0
1779681619462253287,0.0,0.0,0.0,0.0,0.0,0.0
1779681619562538103,0.0,0.0,0.0,0.0,0.0,0.0
1779681619662751142,0.0,0.0,0.0,0.0,0.0,0.0
1779681619763245679,0.0,0.0,0.0,0.0,0.0,0.0
1779681619863311601,0.0,0.0,0.0,0.0,0.0,0.0
1779681619919339844,0.0,0.0,0.0,0.0,0.0,0.0
1779681620019852074,0.0,0.0,0.0,0.0,0.0,0.0
1779681620120367048,0.0,0.0,0.0,0.0,0.0,0.0
1779681620220614967,0.0,0.0,0.0,0.0,0.0,0.0
1779681620321385777,0.0,0.0,0.0,0.0,0.0,0.0
1779681620421535844,0.0,0.0,0.0,0.0,0.0,0.0
1779681620521830578,0.0,0.0,0.0,0.0,0.0,0.0
1779681620622009539,0.0,0.0,0.0,0.0,0.0,0.0
1779681620722329163,0.0,0.0,0.0,0.0,0.0,0.0
1779681620822832272,0.0,0.0,0.0,0.0,0.0,0.0
1779681620923404561,0.0,0.0,0.0,0.0,0.0,0.0
1779681621023600295,0.0,0.0,0.0,0.0,0.0,0.0
1779681621124315648,0.0,0.0,0.0,0.0,0.0,0.0
1779681621224494218,0.0,0.0,0.0,0.0,0.0,0.0
1779681621324778182,0.0,0.0,0.0,0.0,0.0,0.0
1779681621425102416,0.0,0.0,0.0,0.0,0.0,0.0
1779681621525369990,0.0,0.0,0.0,0.0,0.0,0.0
