%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1779691684786484487,0.0,0.0,0.0,0.0,0.0,0.0
1779691684876880843,0.035,0.0,0.0,0.0,0.0,-0.046918931532120456
1779691684977033793,0.035,0.0,0.0,0.0,0.0,-0.04694124018551005
1779691685077428779,0.035,0.0,0.0,0.0,0.0,-0.04716939176824164
1779691685176996852,0.035,0.0,0.0,0.0,0.0,-0.039447726455910326
1779691685276945338,0.035,0.0,0.0,0.0,0.0,-0.03437324668813102
1779691685376952137,0.035,0.0,0.0,0.0,0.0,-0.028830433041260206
1779691685477057182,0.035,0.0,0.0,0.0,0.0,-0.023752685863838052
1779691685577222680,0.035,0.0,0.0,0.0,0.0,-0.020145538569614985
1779691685677062294,0.035,0.0,0.0,0.0,0.0,-0.015557463291306917
1779691685777271505,0.035,0.0,0.0,0.0,0.0,-0.01226104421146168
1779691685876950965,0.035,0.0,0.0,0.0,0.0,-0.00811523403162795
1779691685977420744,0.035,0.0,0.0,0.0,0.0,-0.006605530725414588
1779691686077516608,0.035,0.0,0.0,0.0,0.0,-0.005560115206748928
1779691686177010578,0.035,0.0,0.0,0.0,0.0,-0.004802903838642347
1779691686277316047,0.035,0.0,0.0,0.0,0.0,-0.004514246563478097
1779691686377202654,0.035,0.0,0.0,0.0,0.0,-0.0033454993916403053
1779691686477012135,0.035,0.0,0.0,0.0,0.0,-0.002896966499415621
1779691686576897239,0.035,0.0,0.0,0.0,0.0,-0.0028639294248695712
1779691686677538410,0.035,0.0,0.0,0.0,0.0,-0.000788825737286114
1779691686777003584,0.035,0.0,0.0,0.0,0.0,-0.00016874939950761725
1779691686876950078,0.035,0.0,0.0,0.0,0.0,-0.0004024028455827944
1779691686977283315,0.035,0.0,0.0,0.0,0.0,-3.8788792816379924e-05
1779691687077185019,0.035,0.0,0.0,0.0,0.0,0.0009109448874982107
1779691687176853943,0.035,0.0,0.0,0.0,0.0,0.0023636078456323872
1779691687277114207,0.035,0.0,0.0,0.0,0.0,0.001926758547394991
1779691687376903221,0.035,0.0,0.0,0.0,0.0,0.0025669798492313767
1779691687477050797,0.035,0.0,0.0,0.0,0.0,0.002764055089298112
1779691687576984935,0.035,0.0,0.0,0.0,0.0,0.0034115510107978197
1779691687677200879,0.035,0.0,0.0,0.0,0.0,0.003135004969905708
1779691687777687333,0.035,0.0,0.0,0.0,0.0,0.003567774367368881
1779691687877644352,0.035,0.0,0.0,0.0,0.0,0.003672192176483069
1779691687979110345,0.035,0.0,0.0,0.0,0.0,0.004097068435824469
1779691688077516030,0.035,0.0,0.0,0.0,0.0,0.003717736197493937
1779691688177219049,0.035,0.0,0.0,0.0,0.0,0.0039539216913818676
1779691688277513736,0.035,0.0,0.0,0.0,0.0,0.004247602045729382
1779691688376850035,0.035,0.0,0.0,0.0,0.0,0.0038701910240006576
1779691688477316939,0.035,0.0,0.0,0.0,0.0,0.004392935672789644
1779691688577091784,0.035,0.0,0.0,0.0,0.0,0.004642709357043473
1779691688677496132,0.035,0.0,0.0,0.0,0.0,0.004966036599806212
1779691688777139111,0.035,0.0,0.0,0.0,0.0,0.005229959089424696
1779691688876913775,0.035,0.0,0.0,0.0,0.0,0.004918579742943963
1779691688977149584,0.035,0.0,0.0,0.0,0.0,0.004676727864780572
1779691689076855524,0.035,0.0,0.0,0.0,0.0,0.004861731760832266
1779691689177002823,0.035,0.0,0.0,0.0,0.0,0.005318278168849222
1779691689276991662,0.035,0.0,0.0,0.0,0.0,0.004863068706611351
1779691689377069941,0.035,0.0,0.0,0.0,0.0,0.004468543716470208
1779691689477849545,0.035,0.0,0.0,0.0,0.0,0.004923967647807226
