%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.name6,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.velocity6,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4,field.effort5,field.effort6
1780804450830770882,20454,1780804450737955495,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,-0.0015339809469878674,-0.006135923787951469,-0.30526217818260193,0.7424467206001282,-0.09357283264398575,-0.7623884677886963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-543.3800048828125,-258.239990234375,-67.25,0.0
1780804450890582600,20455,1780804450874955495,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,-0.0015339809469878674,-0.006135923787951469,-0.30526217818260193,0.7424467206001282,-0.0951068103313446,-0.7623884677886963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-543.3800048828125,-258.239990234375,-64.55999755859375,0.0
1780804450954525716,20456,1780804450895955495,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,-0.0015339809469878674,-0.006135923787951469,-0.3067961633205414,0.7424467206001282,-0.09357283264398575,-0.7623884677886963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-540.6900024414062,-260.92999267578125,-67.25,0.0
1780804451015992772,20457,1780804451006955495,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,-0.0015339809469878674,-0.006135923787951469,-0.30526217818260193,0.7424467206001282,-0.09357283264398575,-0.7623884677886963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-543.3800048828125,-260.92999267578125,-67.25,0.0
1780804451096298531,20458,1780804451040955495,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,-0.0015339809469878674,-0.006135923787951469,-0.30526217818260193,0.7424467206001282,-0.09357283264398575,-0.7623884677886963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-543.3800048828125,-260.92999267578125,-67.25,0.0
1780804451142753344,20459,1780804451128955495,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,-0.0015339809469878674,-0.006135923787951469,-0.30526217818260193,0.7424467206001282,-0.09357283264398575,-0.7623884677886963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-543.3800048828125,-260.92999267578125,-67.25,0.0
1780804451223069912,20460,1780804451162955495,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,-0.0015339809469878674,-0.006135923787951469,-0.30526217818260193,0.7424467206001282,-0.09357283264398575,-0.7623884677886963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-543.3800048828125,-260.92999267578125,-64.55999755859375,0.0
1780804451266046539,20461,1780804451245955495,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,-0.0015339809469878674,-0.006135923787951469,-0.30526217818260193,0.7424467206001282,-0.0951068103313446,-0.7623884677886963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.690000057220459,-543.3800048828125,-260.92999267578125,-64.55999755859375,0.0
1780804451354111031,20462,1780804451279955495,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,-0.0015339809469878674,-0.006135923787951469,-0.30526217818260193,0.7424467206001282,-0.09357283264398575,-0.7623884677886963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-543.3800048828125,-258.239990234375,-67.25,0.0
1780804451390478359,20463,1780804451374955495,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,-0.0015339809469878674,-0.006135923787951469,-0.30526217818260193,0.7424467206001282,-0.09357283264398575,-0.7623884677886963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-543.3800048828125,-260.92999267578125,-64.55999755859375,0.0
1780804451471641744,20464,1780804451408955495,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,-0.0015339809469878674,-0.006135923787951469,-0.30526217818260193,0.7424467206001282,-0.09357283264398575,-0.7623884677886963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-543.3800048828125,-263.6199951171875,-64.55999755859375,0.0
1780804451518005804,20465,1780804451502955495,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,-0.0015339809469878674,-0.006135923787951469,-0.30526217818260193,0.7424467206001282,-0.0951068103313446,-0.7608544826507568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.690000057220459,-543.3800048828125,-260.92999267578125,-67.25,0.0
1780804451596269874,20466,1780804451536955495,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,-0.0015339809469878674,-0.006135923787951469,-0.30526217818260193,0.7424467206001282,-0.09357283264398575,-0.7623884677886963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-543.3800048828125,-258.239990234375,-67.25,0.0
1780804451635338411,20467,1780804451622955495,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,-0.0015339809469878674,-0.006135923787951469,-0.30526217818260193,0.7424467206001282,-0.09357283264398575,-0.7623884677886963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-543.3800048828125,-258.239990234375,-67.25,0.0
1780804451721633681,20468,1780804451656955495,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,-0.0015339809469878674,-0.006135923787951469,-0.30526217818260193,0.7424467206001282,-0.09357283264398575,-0.7623884677886963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-543.3800048828125,-260.92999267578125,-67.25,0.0
1780804451765032823,20469,1780804451746955495,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,-0.0015339809469878674,-0.006135923787951469,-0.30526217818260193,0.7424467206001282,-0.09357283264398575,-0.7623884677886963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-540.6900024414062,-255.5500030517578,-67.25,0.0
1780804451844945490,20470,1780804451780955495,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,-0.0015339809469878674,-0.006135923787951469,-0.30526217818260193,0.7424467206001282,-0.09357283264398575,-0.7623884677886963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-543.3800048828125,-260.92999267578125,-67.25,0.0
1780804451894072312,20471,1780804451873955495,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,-0.0015339809469878674,-0.004601942840963602,-0.30526217818260193,0.7424467206001282,-0.09357283264398575,-0.7623884677886963,0.0,0.0,0.016494419425725937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-543.3800048828125,-260.92999267578125,-67.25,0.0
1780804451974603560,20472,1780804451907955495,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,-0.0015339809469878674,-0.006135923787951469,-0.30526217818260193,0.7424467206001282,-0.0951068103313446,-0.7623884677886963,0.0,0.0,-0.04511708766222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-543.3800048828125,-252.86000061035156,-67.25,0.0
1780804452022583102,20473,1780804451997955495,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,-0.0015339809469878674,-0.006135923787951469,-0.30526217818260193,0.7424467206001282,-0.09357283264398575,-0.7623884677886963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-543.3800048828125,-260.92999267578125,-67.25,0.0
1780804452104910794,20474,1780804452031955495,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,-0.0015339809469878674,-0.006135923787951469,-0.30526217818260193,0.7424467206001282,-0.09357283264398575,-0.7623884677886963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-543.3800048828125,-258.239990234375,-72.6300048828125,0.0
1780804452148206035,20475,1780804452126955495,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,-0.0015339809469878674,-0.006135923787951469,-0.30526217818260193,0.7424467206001282,-0.09357283264398575,-0.7623884677886963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-543.3800048828125,-255.5500030517578,-64.55999755859375,0.0
1780804452231743840,20476,1780804452160955495,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,-0.0015339809469878674,-0.006135923787951469,-0.30526217818260193,0.7424467206001282,-0.0951068103313446,-0.7623884677886963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-543.3800048828125,-260.92999267578125,-64.55999755859375,0.0
1780804452266595262,20477,1780804452255955495,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,-0.0015339809469878674,-0.004601942840963602,-0.30526217818260193,0.7424467206001282,-0.09357283264398575,-0.7623884677886963,0.0,0.0,0.01614716835319996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-543.3800048828125,-258.239990234375,-67.25,0.0
1780804452358512646,20478,1780804452288955495,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,-0.0015339809469878674,-0.004601942840963602,-0.3067961633205414,0.7424467206001282,-0.09357283264398575,-0.7623884677886963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.690000057220459,-543.3800048828125,-260.92999267578125,-67.25,0.0
1780804452402608548,20479,1780804452382955495,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,-0.0015339809469878674,-0.006135923787951469,-0.30526217818260193,0.7424467206001282,-0.09357283264398575,-0.7623884677886963,0.0,0.0,-0.016318947076797485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-543.3800048828125,-260.92999267578125,-67.25,0.0
1780804452490786376,20480,1780804452415955495,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,-0.0015339809469878674,-0.006135923787951469,-0.30526217818260193,0.7424467206001282,-0.09357283264398575,-0.7623884677886963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-543.3800048828125,-260.92999267578125,-67.25,0.0
1780804452534017344,20481,1780804452503083518,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,-0.0015339809469878674,-0.006135923787951469,-0.30526217818260193,0.7424467206001282,-0.09357283264398575,-0.7623884677886963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-543.3800048828125,-258.239990234375,-67.25,0.0
1780804452616026870,20482,1780804452537083518,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,-0.0015339809469878674,-0.006135923787951469,-0.30526217818260193,0.7424467206001282,-0.09357283264398575,-0.7623884677886963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-543.3800048828125,-255.5500030517578,-67.25,0.0
1780804452652736774,20483,1780804452633083518,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,-0.0015339809469878674,-0.006135923787951469,-0.3067961633205414,0.7424467206001282,-0.09357283264398575,-0.7623884677886963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-543.3800048828125,-260.92999267578125,-67.25,0.0
