time,joint1,joint2,joint3,joint4,joint1_velocity,joint2_velocity,joint3_velocity,joint4_velocity,x,y,z,pitch
0.02,-0.0030679042327377464,-1.4112212835829476,1.135118552401744,0.5184577715013693,5.7380470443604285e-06,0.004107509975653588,-0.0027208292230609062,-0.0027751426542127135,0.2694923080714231,-0.0008267791865161388,-0.03403459608884628,0.24235504032016564
0.04,-0.00306773233101092,-1.4110982298588652,1.1350370411770665,0.5183746331424887,1.1447331948147622e-05,0.008194430928872823,-0.005428020204402209,-0.005536374818930627,0.2695108617460016,-0.0008267897777729274,-0.03403247986177595,0.24231344446068992
0.06,-0.003067446531207424,-1.4108936436059425,1.1349015225151793,0.5182364092452086,1.712785471136158e-05,0.012260762859657702,-0.008121572944023906,-0.008283696494153739,0.2695417070071509,-0.0008268073673828448,-0.034028957157314604,0.24224428815444543
0.08,-0.00306704740857007,-1.4106079366046282,1.1347122691809168,0.5180433780193191,2.2779615334002302e-05,0.01630650576800823,-0.010801487441926003,-0.01101710767988205,0.2695847793200021,-0.0008268318914134858,-0.03402402864446737,0.2421477105956077
0.1,-0.003066535538341668,-1.4102415206353716,1.1344695539391136,0.5177958176746099,2.8402613816069787e-05,0.020331659653924406,-0.013467763698108495,-0.013736608376115561,0.2696400131956983,-0.0008268632748667294,-0.03401769250339512,0.242023850978352
0.12,-0.0030659114957650307,-1.409794807478621,1.1341736495546042,0.5174940064208712,3.399685015756404e-05,0.024336224517406222,-0.016120401712571383,-0.016442198582854273,0.26970734220414344,-0.0008269014318638989,-0.03400994446887175,0.2418728484968543
0.14,-0.0030651758560829695,-1.409268208914825,1.1338248287922224,0.5171382224678924,3.9562324358485056e-05,0.02832020035845369,-0.01875940148531467,-0.019133878300098182,0.26978669898571905,-0.0008269462658285573,-0.03400077787367503,0.24169484234528982
0.16,-0.0030643291945382954,-1.4086621367244323,1.1334233644168028,0.5167287440254639,4.5099036418832844e-05,0.0322835871770668,-0.021384763016338352,-0.02181164752784729,0.2698780152620069,-0.0008269976696670098,-0.03399018369190716,0.24148997171783437
0.18,-0.00306337208637382,-1.407977002687892,1.1329695291931803,0.5162658493033753,5.0606986338607384e-05,0.036226384973245554,-0.02399648630564243,-0.0244755062661016,0.26998122184555307,-0.0008270555259465874,-0.03397815058224261,0.2412583758086636
0.2,-0.003062305106832355,-1.407213218585652,1.1324635958861888,0.5157498165114165,5.60861741178087e-05,0.040148593746989966,-0.0265945713532269,-0.02712545451486111,0.2700962486487103,-0.0008271197070717806,-0.0339646649311011,0.24100019381195326
0.22,-0.003061128831156712,-1.406371196198162,1.1319058372606625,0.5151809238593774,6.153659975643676e-05,0.04405021349830002,-0.029179018159091772,-0.029761492274125813,0.27022302469159215,-0.0008271900754582999,-0.03394971089574463,0.24071556492187796
0.24,-0.003059843834589701,-1.4054513473058696,1.1312965260814365,0.514559449557048,6.695826325449162e-05,0.04793124422717571,-0.031749826723237035,-0.03238361954389572,0.27036147810917605,-0.0008272664837051394,-0.033933270447294925,0.2404046283326149
0.26,-0.0030584506923741353,-1.4044540836892243,1.1306359351133446,0.5138856718142182,7.235116461197322e-05,0.05179168593361705,-0.0343069970456627,-0.03499183632417083,0.2705115361575879,-0.0008273487747647239,-0.0339153234136749,0.24006752323833846
0.28,-0.003056949979752826,-1.4033798171286747,1.1299243371212215,0.5131598688406778,7.771530382888159e-05,0.05563153861762404,-0.03685052912636876,-0.03758614261495114,0.2706731252196042,-0.0008274367821112131,-0.03389584752246819,0.23970438883322465
0.3,-0.0030553422719685843,-1.402228959404669,1.1291620048699014,0.5123823188462168,8.305068090521672e-05,0.05945080227919667,-0.03938042296535522,-0.04016653841623664,0.2708461708094033,-0.0008275303299070471,-0.033874818443700966,0.23931536431144906
0.32,-0.0030536281442642213,-1.4010019222976562,1.1283492111242188,0.5115533000406249,8.835729584097864e-05,0.06324947691833495,-0.041896678562622074,-0.04273302372802735,0.2710305975766014,-0.0008276292331678133,-0.033852209832543854,0.23890058886718757
0.34,-0.0030518081718825486,-1.399699117588085,1.1274862286490082,0.5106730906336923,9.363514863616729e-05,0.06702756253503889,-0.044399295918169324,-0.045285598550323256,0.2712263293096041,-0.0008277332979255135,-0.03382799337193533,0.23846020169461535
0.36,-0.0030498829300663784,-1.3983209570564041,1.1265733302091034,0.5097419688352087,9.888423929078272e-05,0.07078505912930845,-0.04688827503199697,-0.04782426288312435,0.2714332889383069,-0.0008278423213903163,-0.03380213881512645,0.23799434198790803
0.38,-0.0030478529940585215,-1.3968678524830624,1.1256107885693396,0.508760212854964,0.00010410456780482492,0.07452196670114368,-0.049363615904105006,-0.05034901672643066,0.27165139853617803,-0.0008279560921108761,-0.033774614028148665,0.23750314894124114
0.4,-0.003045718939101789,-1.395340215648508,1.1245988764945507,0.5077281009027481,0.00010929613417829387,0.07823828525054455,-0.051825318534493445,-0.05285986008024216,0.27188057932175197,-0.0008280743901332983,-0.03374538503220513,0.23698676174879085
0.42,-0.003043481340438993,-1.39373845833319,1.1235378667495712,0.506645911188351,0.00011445893841118958,0.08193401477751105,-0.05427338292316228,-0.055356792944558864,0.2721207516595681,-0.0008281969871588368,-0.033714416045987766,0.23644531960473225
0.44,-0.0030411407733129453,-1.3920629923175571,1.1224280320992357,0.5055139219215624,0.00011959298050351207,0.08560915528204321,-0.05670780907011151,-0.05783981531938076,0.27237183506058404,-0.0008283236467004057,-0.03368166952791993,0.23587896170324096
